detuning_khz,sample,t_ns,t_bin_ns,diag_re,diag_im,diag_re0,diag_re_over_diag_re0,phase_rad,phase_deg
0,2,130,130,9983989,664,10000000,0.9983989,6.65064834327e-05,0.00381054081095
0,2,140,140,9979779,745,10000000,0.9979779,7.46509515507e-05,0.00427718446049
0,2,150,150,9975844,858,10000000,0.9975844,8.60077601338e-05,0.00492788166104
0,2,160,160,9972249,1063,10000000,0.9972249,0.00010659581364,0.00610749023532
0,2,170,170,9968155,1331,10000000,0.9968155,0.000133525210241,0.00765043100541
0,2,180,180,9964248,1547,10000000,0.9964248,0.000155255066671,0.00889546006829
0,2,190,190,9958427,1724,10000000,0.9958427,0.000173119708843,0.00991902866725
0,2,200,200,9952515,1706,10000000,0.9952515,0.000171413957506,0.00982129631475
0,2,210,210,9945017,1583,10000000,0.9945017,0.000159175191619,0.00912006668296
0,2,220,220,9952433,1365,10000000,0.9952433,0.000137152391927,0.00785825320753
0,2,229.999728572,230,9959108,1317,10000000,0.9959108,0.00013224075814,0.00757683732106
0,2,239.999598105,240,9966600,1424,10000000,0.99666,0.000142877208909,0.00818626105908
0,2,250,250,9972163,1355,10000000,0.9972163,0.000135878243432,0.00778524987632
0,2,260,260,9971771,1210,10000000,0.9971771,0.000121342537255,0.00695241526009
0,2,270,270,9973265,1298,10000000,0.9973265,0.000130147949811,0.00745692823645
0,2,280,280,9972732,1025,10000000,0.9972732,0.000102780260854,0.00588887516421
0,2,290,290,9974204,933,10000000,0.9974204,9.35412988624e-05,0.00535952163499
0,2,300,300,9981308,911,10000000,0.9981308,9.12706027577e-05,0.00522942033163
0,3,0,0,10000000,0,10000000,1,0,0
0,3,10,10,9999868,0,10000000,0.9999868,0,0
0,3,20,20,9989147,-4,10000000,0.9989147,-4.00434591662e-07,-2.29432120733e-05
0,3,30,30,9989974,-30,10000000,0.9989974,-3.00301081864e-06,-0.00017205984574
0,3,40,40,9990620,-48,10000000,0.999062,-4.80450662718e-06,-0.00027527795238
0,3,50,50,9990652,-21,10000000,0.9990652,-2.1019649168e-06,-0.000120433718417
0,3,60,60,9990127,-31,10000000,0.9990127,-3.10306365474e-06,-0.000177792450977
0,3,70,70,9990238,63,10000000,0.9990238,6.30615606947e-06,0.000361316127732
0,3,80,80,9990583,64,10000000,0.9990583,6.40603256077e-06,0.000367038629156
0,3,90,90,9988260,242,10000000,0.998826,2.42284441887e-05,0.00138818759618
0,3,100,100,9984781,315,10000000,0.9984781,3.15480129104e-05,0.00180756799179
0,3,110,110,9985392,260,10000000,0.9985392,2.60380363576e-05,0.0014918695901
0,3,119.999675287,120,9984023,387,10000000,0.9984023,3.8761929916e-05,0.00222089498997
0,3,130,130,9983985,303,10000000,0.9983985,3.03486032788e-05,0.00173884688199
0,3,140,140,9980790,296,10000000,0.998079,2.96569710327e-05,0.00169921927331
0,3,150,150,9977270,596,10000000,0.997727,5.97357793556e-05,0.003422608043
0,3,160,160,9972857,703,10000000,0.9972857,7.04913345128e-05,0.00403885595983
0,3,170,170,9969245,316,10000000,0.9969245,3.16974856064e-05,0.00181613214642
0,3,180,180,9965190,271,10000000,0.996519,2.71946646209e-05,0.00155813950805
0,3,190,190,9960140,342,10000000,0.996014,3.43368667374e-05,0.00196735754575
0,3,200,200,9952937,84,10000000,0.9952937,8.43971985335e-06,0.00048356032787
0,3,209.995697521,210,9938460,89,10000000,0.993846,8.95510974513e-06,0.000513089993473
